"icon","set_id","lang","name","desc"
UI_RelicIcon_15003_1,15003,zh,吟游者之壶,外形奇妙的古代水壶，内侧安装着琴弦，随流水而奏出无旋律的奇妙乐声。
UI_RelicIcon_15003_2,15003,zh,琴师的箭羽,青蓝色的箭羽，并未在漫长岁月中褪色破碎。似乎带来了落珠流水的琴声。
UI_RelicIcon_15003_3,15003,zh,指挥的礼帽,尽管饱经风霜，但依旧光彩照人的礼帽。其中似乎回荡着古老悠扬的乐声。
UI_RelicIcon_15003_4,15003,zh,乐团的晨光,小小的花形徽章。侧耳细听的话，仿佛能听到悠扬的笛声和清新的歌唱声。
UI_RelicIcon_15003_5,15003,zh,终幕的时计,为乐团的演奏计时的沙漏，曾发出利落的声响。如今他们的表演已经落幕。
UI_RelicIcon_15003_1,15003,en,Wanderer's String-Kettle,"An ancient, strangely-shaped canteen. The interior is fitted with harp strings, which play a wondrous tune as the water flows out."
UI_RelicIcon_15003_2,15003,en,Bard's Arrow Feather,An azure arrow fletching that has neither faded nor splintered with the passage of time. The sound of running water seems to linger around it.
UI_RelicIcon_15003_3,15003,en,Conductor's Top Hat,A top hat that has managed to retain its radiance despite braving the elements for time untold. An ancient tune still resonates within.
UI_RelicIcon_15003_4,15003,en,Troupe's Dawnlight,"A small flower-shaped insignia. If you listen carefully, you can almost hear a flute playing and voices singing."
UI_RelicIcon_15003_5,15003,en,Concert's Final Hour,"An hourglass used to keep time during a band performance. It once made a crisp sound, but their performance has since ended."
UI_RelicIcon_15003_1,15003,ja,吟遊者の水筒,変わった形をした水筒、内側に弦があって、水の流れと共に旋律のない音楽を奏でる。
UI_RelicIcon_15003_2,15003,ja,琴師の矢羽,青藍色の矢羽、長い年月の中で少しも色褪せない。水の流れのような琴の音さえ聞こえるようだ。
UI_RelicIcon_15003_3,15003,ja,指揮者のハット,長い年月を経ても、輝きを失わない礼帽。古く抑揚のある音楽さえ聞こえてくるようだ。
UI_RelicIcon_15003_4,15003,ja,楽団の朝の光,小さい花の形をしたバッジ。耳をすませば、笛の音や歌声が聞こえるかもしれない。
UI_RelicIcon_15003_5,15003,ja,フィナーレの時計,楽団の演奏に使用されていた砂時計、きちんとした音を出していたが、彼らのパフォーマンスはとうに幕を閉じた。
UI_RelicIcon_15003_1,15003,ko,음유시인의 주전자,이상한 외형의 고대 물주전자. 안쪽에 악기의 줄이 달려 있어 물을 따를 때마다 선율이 없는 기묘한 악기 소리가 난다
UI_RelicIcon_15003_2,15003,ko,연주자의 화살깃,파란색의 화살깃. 오랜 세월이 흘렀지만 색이 바래지지 않고 모양도 그대로이다. 마치 옥구슬 구르는 것과 같은 악기 소리가 난다
